x,y
34,36.95171267
77,75.38584984
70,72.65260055
55,53.17815165
14,20.83631306
66,70.46723912
76,80.85665161
49,53.1958085
6,12.20759434
32,34.49936473
4,5.891146407
43,39.53354217
77,74.41485904
75,74.89705008
56,51.95753058
84,85.39682051
16,20.15336085
12,9.750541717
74,77.64309284
19,15.18394057
10,12.73888786
91,91.98914349
27,26.91136082
47,41.56912
0,3.508073065
29,30.95689251
94,97.18956218
51,49.43598776
63,64.26832929
18,22.587703
10,7.124128029
13,8.563048186
39,41.55501131
22,20.16834644
63,57.92342652
0,0.515296584
65,62.98703283
27,25.83862865
76,80.45798536
61,63.3550168
56,58.15932329
97,94.11210546
35,37.32371016
8,8.494524331
96,95.01053095
30,22.23284672
45,40.32141677
89,90.21892952
0,0.410034447
16,18.54445624
73,67.84982248
78,79.30262089
22,22.08643361
69,73.94065324
87,87.67036797
56,58.94264734
24,23.08549171
23,20.17364166
61,58.77700502
93,91.74054437
42,41.54699095
32,30.81905214
69,69.0300974
92,94.54855169
42,39.49913556
89,91.47951857
49,51.55873306
17,18.25765111
14,13.50606105
49,47.25728553
81,76.79254667
31,35.70248639
4,6.264913964
100,100.6993042
74,72.0451045
31,28.89818516
70,72.70026484
19,13.17339794
91,89.49743342
10,15.149899
63,58.27529434
13,11.44019904
56,56.52213821
86,87.64599214
34,35.48076746
62,60.31450207
23,18.67709809
86,89.6913237
28,28.11379106
71,75.09767867
57,55.32037155
88,94.3167747
59,61.44539922
35,35.14114927
23,23.82270117
53,58.23190865
78,74.81300036
46,51.56517991
55,55.24727696
39,39.1453468
66,66.55285119
26,29.39513173
19,24.48923522
67,60.19977102
85,85.92878528
19,17.17535791
29,30.38587706
37,37.23100313
78,78.2353843
55,56.63508048
22,21.00138051
53,50.30013292
10,9.987418188
41,40.72976877
34,36.20031649
42,37.91046457
16,15.69246979
49,45.45296812
67,63.54196472
78,75.9254474
78,70.89605466
46,45.48464637
85,86.30157072
55,59.65934159
17,13.7210798
35,36.78000253
3,3.616189461
58,59.13074018
99,99.55743185
75,72.33981425
42,38.43454538
3,6.605125855
18,17.2825786
64,65.76872059
88,88.93705062
10,10.24321485
8,5.981559608
36,36.69941261
31,30.05249917
31,31.0091556
25,23.50600168
23,27.86242677
67,72.17479164
32,30.00450013
18,12.85156971
21,24.34436574
43,41.81114407
3,0.467885368
77,79.3447476
65,67.03083489
44,49.51367753
97,93.10703983
10,8.874429901
60,59.62868818
96,92.1817842
35,38.41371194
19,19.5407659
35,35.72155012
92,85.30809912
60,64.14965683
22,24.18557825
14,9.903739527
75,72.10180242
13,17.32695188
45,38.35981287
96,95.0578033
2,-0.299613957
10,4.703623554
14,13.94025507
73,70.11250881
87,86.09488644
36,31.47771556
60,63.51884519
11,9.399952696
67,65.20351416
66,61.48561659
6,8.171251072
7,7.332591814
24,26.28897407
63,61.47440686
17,15.16133432
14,22.27597695
58,57.44245397
98,92.08566499
97,99.5828523
6,3.99437833
68,69.68509233
14,11.50829914
3,0.999316383
11,12.81722524
37,41.93699941
10,5.096693488
73,73.76524286
51,49.66335974
21,20.62187482
13,8.160946975
36,40.32389889
75,73.11789319
79,78.39875525
52,57.18784122
81,82.49436508
41,45.15189492
66,71.03932622
40,38.07000275
89,89.90519931
33,29.88833531
0,2.565341196
33,30.83014938
38,38.35528665
50,49.58700869
51,46.23112251
98,94.66452006
16,12.90871152
13,14.41277006
63,59.29320491
100,101.0527554
26,31.91877793
96,98.82058517
82,83.28171597
55,53.71363865
46,42.49340074
35,41.28046683
25,28.28815008
66,61.83754901
72,73.19799817
2,-0.794380223
44,46.65000768
33,32.20277252
99,99.10841438
68,63.95269061
42,45.55581422
22,17.64837677
67,68.38630542
94,86.37434073
57,57.00728919
76,76.68656495
74,77.94282885
61,59.08076043
42,34.45821322
36,36.15584238
92,90.54704546
87,85.50185735
100,101.1429867
37,38.96262091
74,77.09171487
63,59.79554327
4,3.41374405
46,44.76239178
22,24.34271205
90,83.8695804
46,43.81449675
72,71.56401721
97,104.9736467
53,52.69432705
44,45.06252603
29,24.99004213
94,100.4025696
81,78.75961965
97,97.35245237
41,36.70641571
52,55.1791704
5,5.613066661
52,51.50771875
84,83.16678042
13,16.30908213
37,34.10890302
43,40.95397677
4,-0.54164901
53,50.36509168
78,77.91907431
72,74.61925603
90,89.57196684
57,62.26929995
81,83.78914248
22,25.40541991
70,72.66433347
18,15.31620902
74,74.1105854
90,89.83967456
47,45.58172646
